carretera_id,state_slug,carretera,clave_carretera,ruta,station_count
1063,quintana roo,Reforma Agraria - Puerto Juárez,23132,MEX-307,54
1064,quintana roo,Ramal a El Naranjal,23579,QR,2
1065,quintana roo,Ramal a Reforma,23016,QR-016,2
1066,quintana roo,Ramal a Tres Garantías,23585,QR,2
1067,quintana roo,Muna - Felipe Carrillo Puerto,00148,MEX-184,17
1068,quintana roo,Ramal a Punta Allen,23015,QR-015,3
1069,quintana roo,Perimetral Cozumel,00148,QR,6
1070,quintana roo,Chetumal - Calderitas,23004,QR-004,4
1071,quintana roo,Cancún - Punta Cancún,23581,QR,6
1072,quintana roo,Central Vallarta - Leona Vicario, ,QR,3
1073,quintana roo,Ramal a Puerto Morelos,23569,MEX,2
1074,quintana roo,Ramal a Petcacab,23018,QR-018,2
1075,quintana roo,Punta Nizuc - Cancún,23014,QR,3
1076,quintana roo,Libramiento de Chetumal,23130,QR,3
1077,quintana roo,Ramal a Aeropuerto Cancún,23574,QR,4
1078,quintana roo,Ramal a Laguna de Kaná,23213,QR,2
1079,quintana roo,Ramal a Punta Piedra,23575,MEX,3
1080,quintana roo,Ramal a Candelaria,23027,QR,2
1081,quintana roo,T. C. (Reforma Agraria - Puerto Juárez) - Polyuc,23014,MEX-293,9
1082,quintana roo,Tihosuco - Dziuche,23576,QR,2
1083,quintana roo,Transversal de Cozumel,23577,QR,3
1084,quintana roo,Tulum - Nuevo X-Can,23570,QR,7
1085,quintana roo,Ucum - Unión,23571,QR,6
1086,quintana roo,Valladolid - Felipe Carrillo Puerto,00010,MEX-295,13
1087,san luis potosi,Cerritos - Ent. Tula (Cuota), ,SLP-075D,5
1088,san luis potosi,Cd. Valles - San Luis Potosí,24135,MEX-070,30
1089,san luis potosi,Ent. El Huizache - Antiguo Morelos,00136,MEX-080,8
1090,san luis potosi,Cd. Valles - Cd. Victoria,00509,MEX-085,10
1091,san luis potosi,Lagos de Moreno - Villa de Arriaga (Cuota), ,MEX-080D,6
1092,san luis potosi,Jalpan de Serra - Rioverde,00265,MEX-069,7
1093,san luis potosi,Ent. Ahualulco - Ent. La Bonita,24258,MEX-063,6
1094,san luis potosi,Libramiento Oriente de San Luis Potosí (Cuota),24009,MEX-057D,7
1095,san luis potosi,Libramiento de Villa de Reyes,24010,MEX-037,2
1096,san luis potosi,Rayón - Cd. del Maíz,24206,MEX-070-SLP-005,3
1097,san luis potosi,Matehuala - La Poza,00086,SLP-029-NL-061,5
1098,san luis potosi,Matehuala - Ent. Puerto México,00405,MEX-057,19
1099,san luis potosi,San Luis Potosí - Ent. Arcinas,00134,MEX-049,22
