movement_id,mes_num,mes_nombre,porcentaje
68798c739b36b04cf0b7c045,7,Jul,8.6
68798c739b36b04cf0b7c045,8,Ago,9
68798c739b36b04cf0b7c045,9,Sep,7.6
68798c739b36b04cf0b7c045,10,Oct,7.5
68798c739b36b04cf0b7c045,11,Nov,8.3
68798c739b36b04cf0b7c045,12,Dic,9.8
68798c739b36b04cf0b7c046,1,Ene,8.7
68798c739b36b04cf0b7c046,2,Feb,7.1
68798c739b36b04cf0b7c046,3,Mar,9.5
68798c739b36b04cf0b7c046,4,Abr,7.9
68798c739b36b04cf0b7c046,5,May,10.1
68798c739b36b04cf0b7c046,6,Jun,6.8
68798c739b36b04cf0b7c046,7,Jul,10.1
68798c739b36b04cf0b7c046,8,Ago,9.8
68798c739b36b04cf0b7c046,9,Sep,9.4
68798c739b36b04cf0b7c046,10,Oct,8.5
68798c739b36b04cf0b7c046,11,Nov,5.3
68798c739b36b04cf0b7c046,12,Dic,6.8
68798c739b36b04cf0b7c047,1,Ene,8.5
68798c739b36b04cf0b7c047,2,Feb,7.7
68798c739b36b04cf0b7c047,3,Mar,9.8
68798c739b36b04cf0b7c047,4,Abr,8.8
68798c739b36b04cf0b7c047,5,May,8.4
68798c739b36b04cf0b7c047,6,Jun,7.7
68798c739b36b04cf0b7c047,7,Jul,8.2
68798c739b36b04cf0b7c047,8,Ago,8.8
68798c739b36b04cf0b7c047,9,Sep,8.2
68798c739b36b04cf0b7c047,10,Oct,8.1
68798c739b36b04cf0b7c047,11,Nov,7.4
68798c739b36b04cf0b7c047,12,Dic,8.4
68798c739b36b04cf0b7c101,1,Ene,8.5
68798c739b36b04cf0b7c101,2,Feb,7.3
68798c739b36b04cf0b7c101,3,Mar,9.5
68798c739b36b04cf0b7c101,4,Abr,8.7
68798c739b36b04cf0b7c101,5,May,8.2
68798c739b36b04cf0b7c101,6,Jun,7.8
68798c739b36b04cf0b7c101,7,Jul,9.6
68798c739b36b04cf0b7c101,8,Ago,9.5
68798c739b36b04cf0b7c101,9,Sep,7.6
68798c739b36b04cf0b7c101,10,Oct,6.7
68798c739b36b04cf0b7c101,11,Nov,7.5
68798c739b36b04cf0b7c101,12,Dic,9.1
68798c739b36b04cf0b7c245,1,Ene,7.9
68798c739b36b04cf0b7c245,2,Feb,7.9
68798c739b36b04cf0b7c245,3,Mar,9.9
68798c739b36b04cf0b7c245,4,Abr,8.8
68798c739b36b04cf0b7c245,5,May,8.5
68798c739b36b04cf0b7c245,6,Jun,7.7
68798c739b36b04cf0b7c245,7,Jul,9.1
68798c739b36b04cf0b7c245,8,Ago,9.3
68798c739b36b04cf0b7c245,9,Sep,7.5
68798c739b36b04cf0b7c245,10,Oct,7.6
68798c739b36b04cf0b7c245,11,Nov,7.2
68798c739b36b04cf0b7c245,12,Dic,8.6
68798c739b36b04cf0b7c2d5,1,Ene,8.6
68798c739b36b04cf0b7c2d5,2,Feb,8
68798c739b36b04cf0b7c2d5,3,Mar,8.5
68798c739b36b04cf0b7c2d5,4,Abr,8.5
68798c739b36b04cf0b7c2d5,5,May,8.6
68798c739b36b04cf0b7c2d5,6,Jun,8
68798c739b36b04cf0b7c2d5,7,Jul,8.6
68798c739b36b04cf0b7c2d5,8,Ago,8.7
68798c739b36b04cf0b7c2d5,9,Sep,7.9
68798c739b36b04cf0b7c2d5,10,Oct,7.9
68798c739b36b04cf0b7c2d5,11,Nov,7.9
68798c739b36b04cf0b7c2d5,12,Dic,8.8
68798c739b36b04cf0b7c2d6,1,Ene,9.1
68798c739b36b04cf0b7c2d6,2,Feb,8.2
68798c739b36b04cf0b7c2d6,3,Mar,8.8
68798c739b36b04cf0b7c2d6,4,Abr,8.4
68798c739b36b04cf0b7c2d6,5,May,8.3
68798c739b36b04cf0b7c2d6,6,Jun,7.5
68798c739b36b04cf0b7c2d6,7,Jul,8.3
68798c739b36b04cf0b7c2d6,8,Ago,8.4
68798c739b36b04cf0b7c2d6,9,Sep,7.5
68798c739b36b04cf0b7c2d6,10,Oct,8
68798c739b36b04cf0b7c2d6,11,Nov,8.2
68798c739b36b04cf0b7c2d6,12,Dic,9.3
68798c739b36b04cf0b7bfcd,1,Ene,8
68798c739b36b04cf0b7bfcd,2,Feb,7
68798c739b36b04cf0b7bfcd,3,Mar,7.8
68798c739b36b04cf0b7bfcd,4,Abr,7.3
68798c739b36b04cf0b7bfcd,5,May,7.4
68798c739b36b04cf0b7bfcd,6,Jun,13.8
68798c739b36b04cf0b7bfcd,7,Jul,7.6
68798c739b36b04cf0b7bfcd,8,Ago,7.9
68798c739b36b04cf0b7bfcd,9,Sep,7.4
68798c739b36b04cf0b7bfcd,10,Oct,8.1
68798c739b36b04cf0b7bfcd,11,Nov,8.3
68798c739b36b04cf0b7bfcd,12,Dic,9.4
68798c739b36b04cf0b7c121,1,Ene,9
68798c739b36b04cf0b7c121,2,Feb,7.9
68798c739b36b04cf0b7c121,3,Mar,9
68798c739b36b04cf0b7c121,4,Abr,8.8
68798c739b36b04cf0b7c121,5,May,8.3
68798c739b36b04cf0b7c121,6,Jun,7.7
68798c739b36b04cf0b7c121,7,Jul,8.6
68798c739b36b04cf0b7c121,8,Ago,8.6
68798c739b36b04cf0b7c121,9,Sep,7.4
68798c739b36b04cf0b7c121,10,Oct,7.7
68798c739b36b04cf0b7c121,11,Nov,7.7
68798c739b36b04cf0b7c121,12,Dic,9.3
68798c739b36b04cf0b7c122,1,Ene,8.4
68798c739b36b04cf0b7c122,2,Feb,7.8
68798c739b36b04cf0b7c122,3,Mar,8.6
68798c739b36b04cf0b7c122,4,Abr,8.5
68798c739b36b04cf0b7c122,5,May,9.1
68798c739b36b04cf0b7c122,6,Jun,8.5
68798c739b36b04cf0b7c122,7,Jul,8.9
68798c739b36b04cf0b7c122,8,Ago,9
68798c739b36b04cf0b7c122,9,Sep,8.5
68798c739b36b04cf0b7c122,10,Oct,8
68798c739b36b04cf0b7c122,11,Nov,6.8
68798c739b36b04cf0b7c122,12,Dic,7.9
68798c739b36b04cf0b7c123,1,Ene,10.6
68798c739b36b04cf0b7c123,2,Feb,8.7
68798c739b36b04cf0b7c123,3,Mar,9.3
