movement_id,periodo,valor,porc
68798c739b36b04cf0b7c2d1,May,8.6,79.320388349515
68798c739b36b04cf0b7c2d1,Jun,8.7,80.242718446602
68798c739b36b04cf0b7c2d1,Jul,10.3,95
68798c739b36b04cf0b7c2d1,Ago,10.2,94.077669902913
68798c739b36b04cf0b7c2d1,Sep,8.7,80.242718446602
68798c739b36b04cf0b7c2d1,Oct,8,73.78640776699
68798c739b36b04cf0b7c2d1,Nov,7.7,71.019417475728
68798c739b36b04cf0b7c2d1,Dic,7.5,69.174757281553
68798c739b36b04cf0b7c2d2,Ene,7.4,71.010101010101
68798c739b36b04cf0b7c2d2,Feb,6.7,64.292929292929
68798c739b36b04cf0b7c2d2,Mar,8.1,77.727272727273
68798c739b36b04cf0b7c2d2,Abr,7.9,75.808080808081
68798c739b36b04cf0b7c2d2,May,8.4,80.606060606061
68798c739b36b04cf0b7c2d2,Jun,8.6,82.525252525253
68798c739b36b04cf0b7c2d2,Jul,9.9,95
68798c739b36b04cf0b7c2d2,Ago,9.7,93.080808080808
68798c739b36b04cf0b7c2d2,Sep,8.6,82.525252525253
68798c739b36b04cf0b7c2d2,Oct,8.3,79.646464646465
68798c739b36b04cf0b7c2d2,Nov,8.1,77.727272727273
68798c739b36b04cf0b7c2d2,Dic,8.3,79.646464646465
68798c739b36b04cf0b7c2f5,Ene,7.6,74.432989690722
68798c739b36b04cf0b7c2f5,Feb,6.9,67.577319587629
68798c739b36b04cf0b7c2f5,Mar,8.5,83.247422680412
68798c739b36b04cf0b7c2f5,Abr,8,78.350515463918
68798c739b36b04cf0b7c2f5,May,8.5,83.247422680412
68798c739b36b04cf0b7c2f5,Jun,8.6,84.226804123711
68798c739b36b04cf0b7c2f5,Jul,9.7,95
68798c739b36b04cf0b7c2f5,Ago,9.5,93.041237113402
68798c739b36b04cf0b7c2f5,Sep,8.2,80.309278350515
68798c739b36b04cf0b7c2f5,Oct,8.3,81.288659793814
68798c739b36b04cf0b7c2f5,Nov,8,78.350515463918
68798c739b36b04cf0b7c2f5,Dic,8.2,80.309278350515
68798c739b36b04cf0b7c2f6,Ene,7.9,80.698924731183
68798c739b36b04cf0b7c2f6,Feb,6.9,70.483870967742
68798c739b36b04cf0b7c2f6,Mar,8.2,83.763440860215
68798c739b36b04cf0b7c2f6,Abr,9,91.935483870968
68798c739b36b04cf0b7c2f6,May,8.7,88.870967741935
68798c739b36b04cf0b7c2f6,Jun,8.3,84.784946236559
68798c739b36b04cf0b7c2f6,Jul,9.3,95
68798c739b36b04cf0b7c2f6,Ago,9.1,92.956989247312
68798c739b36b04cf0b7c2f6,Sep,8,81.720430107527
68798c739b36b04cf0b7c2f6,Oct,8.3,84.784946236559
68798c739b36b04cf0b7c2f6,Nov,8,81.720430107527
68798c739b36b04cf0b7c2f6,Dic,8.3,84.784946236559
68798c739b36b04cf0b7c2f7,Ene,8.5,87.771739130435
68798c739b36b04cf0b7c2f7,Feb,7.9,81.576086956522
68798c739b36b04cf0b7c2f7,Mar,7.7,79.510869565217
68798c739b36b04cf0b7c2f7,Abr,8.9,91.902173913043
68798c739b36b04cf0b7c2f7,May,8.7,89.836956521739
68798c739b36b04cf0b7c2f7,Jun,8.8,90.869565217391
68798c739b36b04cf0b7c2f7,Jul,9.2,95
68798c739b36b04cf0b7c2f7,Ago,9.2,95
68798c739b36b04cf0b7c2f7,Sep,7.8,80.54347826087
68798c739b36b04cf0b7c2f7,Oct,7,72.282608695652
68798c739b36b04cf0b7c2f7,Nov,8,82.608695652174
68798c739b36b04cf0b7c2f7,Dic,8.3,85.70652173913
68798c739b36b04cf0b7c2f8,Ene,6.8,58.198198198198
68798c739b36b04cf0b7c2f8,Feb,7.2,61.621621621622
68798c739b36b04cf0b7c2f8,Mar,7.9,67.612612612613
68798c739b36b04cf0b7c2f8,Abr,11.1,95
68798c739b36b04cf0b7c2f8,May,8.6,73.603603603604
68798c739b36b04cf0b7c2f8,Jun,8.2,70.18018018018
68798c739b36b04cf0b7c2f8,Jul,9.6,82.162162162162
68798c739b36b04cf0b7c2f8,Ago,9.8,83.873873873874
68798c739b36b04cf0b7c2f8,Sep,7.5,64.189189189189
68798c739b36b04cf0b7c2f8,Oct,7.1,60.765765765766
