movement_id,year,tdpa
68798c739b36b04cf0b7c2fa,2016,596
68798c739b36b04cf0b7c2fa,2017,608
68798c739b36b04cf0b7c2fa,2018,740
68798c739b36b04cf0b7c2fa,2019,854
68798c739b36b04cf0b7c2fa,2020,803
68798c739b36b04cf0b7c2fa,2021,1782
68798c739b36b04cf0b7c2fa,2022,1740
68798c739b36b04cf0b7c2fa,2023,1842
68798c739b36b04cf0b7c2fa,2024,1934
68798c739b36b04cf0b7c2fc,2012,621
68798c739b36b04cf0b7c2fc,2013,133
68798c739b36b04cf0b7c2fc,2014,404
68798c739b36b04cf0b7c2fc,2015,255
68798c739b36b04cf0b7c2fc,2016,301
68798c739b36b04cf0b7c2fc,2017,430
68798c739b36b04cf0b7c2fc,2018,513
68798c739b36b04cf0b7c2fc,2019,407
68798c739b36b04cf0b7c2fc,2020,325
68798c739b36b04cf0b7c2fc,2021,386
68798c739b36b04cf0b7c2fc,2022,379
68798c739b36b04cf0b7c2fc,2023,465
68798c739b36b04cf0b7c2fc,2024,412
68798c739b36b04cf0b7c2fd,2012,69
68798c739b36b04cf0b7c2fd,2013,669
68798c739b36b04cf0b7c2fd,2014,104
68798c739b36b04cf0b7c2fd,2015,104
68798c739b36b04cf0b7c2fd,2016,99
68798c739b36b04cf0b7c2fd,2017,126
68798c739b36b04cf0b7c2fd,2018,151
68798c739b36b04cf0b7c2fd,2019,117
68798c739b36b04cf0b7c2fd,2020,132
68798c739b36b04cf0b7c2fd,2021,156
68798c739b36b04cf0b7c2fd,2022,167
68798c739b36b04cf0b7c2fd,2023,144
68798c739b36b04cf0b7c2fd,2024,152
68798c739b36b04cf0b7c2f9,2009,5205
68798c739b36b04cf0b7c2f9,2010,5491
68798c739b36b04cf0b7c2f9,2011,5620
68798c739b36b04cf0b7c2f9,2012,5713
68798c739b36b04cf0b7c2f9,2013,5739
68798c739b36b04cf0b7c2f9,2014,5831
68798c739b36b04cf0b7c2f9,2015,6219
68798c739b36b04cf0b7c2f9,2016,6954
