station_id,year,tdpa
687a5e5d9b36b04cf0b805a5,2023,3681
687a5e5d9b36b04cf0b805a5,2022,3543
687a5e5d9b36b04cf0b805a5,2021,2965
687a5e5d9b36b04cf0b805a5,2020,2832
687a5e5d9b36b04cf0b805a5,2019,2834
687a5e5d9b36b04cf0b805a5,2018,2782
687a5e5d9b36b04cf0b805a5,2017,2790
687a5e5d9b36b04cf0b805a5,2016,2803
687a5e5d9b36b04cf0b805a5,2015,2693
687a5e5d9b36b04cf0b805a5,2014,2579
687a5e5d9b36b04cf0b805a5,2013,2439
687a5e5d9b36b04cf0b805a5,2012,2428
687a5e5d9b36b04cf0b805a5,2011,2293
687a5e5d9b36b04cf0b805a5,2010,2234
687a5e5d9b36b04cf0b805a6,2024,3111
687a5e5d9b36b04cf0b805a6,2023,2676
687a5e5d9b36b04cf0b805a6,2022,2601
687a5e5d9b36b04cf0b805a6,2021,2384
687a5e5d9b36b04cf0b805a6,2020,1778
687a5e5d9b36b04cf0b805a6,2019,2279
687a5e5d9b36b04cf0b805a6,2018,2261
687a5e5d9b36b04cf0b805a6,2017,2155
687a5e5d9b36b04cf0b805a6,2016,2105
687a5e5d9b36b04cf0b805a6,2015,2189
687a5e5d9b36b04cf0b805a6,2014,2315
687a5e5d9b36b04cf0b805a6,2013,2264
687a5e5d9b36b04cf0b805a6,2012,2117
687a5e5d9b36b04cf0b805a6,2011,2145
687a5e5d9b36b04cf0b805a6,2010,2093
687a5e5d9b36b04cf0b805a7,2024,2795
687a5e5d9b36b04cf0b805a7,2023,2717
687a5e5d9b36b04cf0b805a7,2022,2661
687a5e5d9b36b04cf0b805a7,2021,2575
687a5e5d9b36b04cf0b805a7,2020,2189
687a5e5d9b36b04cf0b805a7,2019,2462
687a5e5d9b36b04cf0b805a7,2018,2340
687a5e5d9b36b04cf0b805a7,2017,2395
687a5e5d9b36b04cf0b805a7,2016,1943
687a5e5d9b36b04cf0b805a7,2015,2022
687a5e5d9b36b04cf0b805a7,2014,1977
687a5e5d9b36b04cf0b805a7,2013,1822
687a5e5d9b36b04cf0b805a7,2012,1812
687a5e5d9b36b04cf0b805a7,2011,1950
687a5e5d9b36b04cf0b805a7,2010,1829
687a5e5d9b36b04cf0b805a8,2024,3872
687a5e5d9b36b04cf0b805a8,2023,3538
687a5e5d9b36b04cf0b805a8,2022,3392
687a5e5d9b36b04cf0b805a8,2021,3058
687a5e5d9b36b04cf0b805a8,2020,2802
687a5e5d9b36b04cf0b805a8,2019,2923
687a5e5d9b36b04cf0b805a8,2018,2754
687a5e5d9b36b04cf0b805a8,2017,2599
687a5e5d9b36b04cf0b805a8,2016,2700
687a5e5d9b36b04cf0b805a8,2015,2311
687a5e5d9b36b04cf0b805a8,2014,2167
687a5e5d9b36b04cf0b805a8,2013,2093
687a5e5d9b36b04cf0b805a8,2012,1804
687a5e5d9b36b04cf0b805a8,2011,1620
687a5e5d9b36b04cf0b805a8,2010,1378
687a5e5d9b36b04cf0b805a9,2024,3765
687a5e5d9b36b04cf0b805a9,2023,3445
687a5e5d9b36b04cf0b805a9,2022,3381
687a5e5d9b36b04cf0b805a9,2021,3166
687a5e5d9b36b04cf0b805a9,2020,2806
687a5e5d9b36b04cf0b805a9,2019,3027
687a5e5d9b36b04cf0b805a9,2018,2956
687a5e5d9b36b04cf0b805a9,2017,3061
687a5e5d9b36b04cf0b805a9,2016,2948
687a5e5d9b36b04cf0b805a9,2015,3103
687a5e5d9b36b04cf0b805a9,2014,2968
687a5e5d9b36b04cf0b805a9,2013,2829
687a5e5d9b36b04cf0b805a9,2012,2803
687a5e5d9b36b04cf0b805a9,2011,2776
687a5e5d9b36b04cf0b805a9,2010,2399
687a5e5d9b36b04cf0b806eb,2024,4398
687a5e5d9b36b04cf0b806eb,2023,4969
687a5e5d9b36b04cf0b806eb,2022,4670
687a5e5d9b36b04cf0b806eb,2021,3655
687a5e5d9b36b04cf0b806eb,2020,2791
687a5e5d9b36b04cf0b806eb,2019,3494
687a5e5d9b36b04cf0b806eb,2018,3417
687a5e5d9b36b04cf0b806eb,2017,2927
687a5e5d9b36b04cf0b806eb,2016,3155
687a5e5d9b36b04cf0b806eb,2015,3065
687a5e5d9b36b04cf0b806eb,2014,2986
687a5e5d9b36b04cf0b806eb,2013,2807
687a5e5d9b36b04cf0b806eb,2012,2925
687a5e5d9b36b04cf0b806eb,2011,2673
687a5e5d9b36b04cf0b806eb,2010,2447
687a5e5d9b36b04cf0b806ec,2024,4403
