plaza_id,state_slug,u1_carretera_id,u2_caseta_name,u2_carretera_raw,ruta,match_method
68798c739b36b04cf0b7c2f0,oaxaca,927,Coixtlahuaca,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c2f2,oaxaca,927,Huitzo,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c2f4,oaxaca,927,Huitzo Bis,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c132,puebla,971,San Martín Texmelucan,México-Puebla,MEX-150D,tematico_parent
68798c739b36b04cf0b7c13e,puebla,969,Ixtenco,Amozoc-Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c13f,puebla,969,Audi,Amozoc-Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c142,puebla,969,Cuapiaxtla,Amozoc-Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c145,puebla,969,Cantona,Amozoc-Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c213,puebla,1014,Nuevo Necaxa,Tejocotal-Nuevo Necaxa,MEX-130D,tematico_parent
68798c739b36b04cf0b7c2d8,puebla,983,Amozoc,Puebla-Acatzingo,MEX-150D,tematico_parent
68798c739b36b04cf0b7c2db,puebla,985,Esperanza,Acatzingo-Cd. Mendoza,MEX-150D,tematico_parent
68798c739b36b04cf0b7c2ee,puebla,968,Tehuacán,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c2ef,puebla,968,Miahuatlán,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c030,queretaro,1032,Chichimequillas,Libramiento Nororiente de Querétaro,MEX-057D,tematico_parent
68798c739b36b04cf0b7c12c,queretaro,1034,Palmillas,México-Querétaro,MEX-057D,tematico_parent
68798c739b36b04cf0b7c133,queretaro,1040,Querétaro,Querétaro-Irapuato,MEX-045D,tematico_parent
68798c739b36b04cf0b7c135,queretaro,1024,Querétaro Bis,Querétaro-Irapuato,MEX-045D,tematico_parent
68798c739b36b04cf0b7c281,queretaro,1034,Huichapan,Palmillas-Apaseo,MEX-045D,tematico_parent
68798c739b36b04cf0b7c286,queretaro,1034,Amealco,Palmillas-Apaseo,MEX-045D,tematico_parent
68798c739b36b04cf0b7c28b,queretaro,1048,Coroneo,Palmillas-Apaseo,MEX-045D,tematico_parent
68798c739b36b04cf0b7c290,queretaro,1034,Huimilpan,Palmillas-Apaseo,MEX-045D,tematico_parent
68798c739b36b04cf0b7c02c,quintana roo,1060,Chichén Itza,Kantunil-Cancún,MEX-180D,tematico_parent
68798c739b36b04cf0b7c02f,quintana roo,1060,Tintal,Kantunil-Cancún,MEX-180D,tematico_parent
68798c739b36b04cf0b7c27b,quintana roo,1057,Felipe Carrillo Puerto,Libramiento de Felipe Carrillo Puerto,MEX-307D,tematico_parent
68798c739b36b04cf0b7c024,san luis potosi,1094,San Nicolás de los Jassos,Libramiento Oriente de San Luis Potosí,MEX-057D,tematico_parent
68798c739b36b04cf0b7c149,san luis potosi,1122,Matehuala,Libramiento de Matehuala,MEX-D,tematico_parent
68798c739b36b04cf0b7c254,san luis potosi,1115,Vicente Rangel Lozano,Libramiento Norte de San Luis Potosí,MEX-057D,tematico_parent
68798c739b36b04cf0b7c255,san luis potosi,1115,Poniente SLP,Libramiento Poniente de San Luis Potosí,MEX-057D,tematico_parent
68798c739b36b04cf0b7c256,san luis potosi,1115,Horizontes,Libramiento Poniente de San Luis Potosí,MEX-057D,tematico_parent
68798c739b36b04cf0b7c277,san luis potosi,1104,La Calera,Libramiento Cd. Valles-Tamuin,MEX-070D,tematico_parent
68798c739b36b04cf0b7c29f,san luis potosi,1104,Rayón,Rioverde-Cd. Valles,MEX-070D,tematico_parent
68798c739b36b04cf0b7c2a0,san luis potosi,1104,Tamasopo,Rioverde-Cd. Valles,MEX-070D,tematico_parent
68798c739b36b04cf0b7c2a2,san luis potosi,1104,Tambaca,Rioverde-Cd. Valles,MEX-070D,tematico_parent
68798c739b36b04cf0b7c2a4,san luis potosi,1104,La Pitahaya,Rioverde-Cd. Valles,MEX-070D,tematico_parent
68798c739b36b04cf0b7bfe0,sinaloa,1170,Rosario,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c014,sinaloa,1154,Puente San Miguel,Los Mochis-Cd.Obregón,MEX-015D,tematico_parent
68798c739b36b04cf0b7c015,sinaloa,1154,Estación Don (La Jaula),Los Mochis-Cd.Obregón,MEX-015D,tematico_parent
68798c739b36b04cf0b7c016,sinaloa,1154,Fundición,Los Mochis-Cd.Obregón,MEX-015D,tematico_parent
68798c739b36b04cf0b7c040,sinaloa,1142,Mármol,Mazatlán-Culiacán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c041,sinaloa,1161,Quilá,Mazatlán-Culiacán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c043,sinaloa,1142,Costa Rica,Mazatlán-Culiacán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c22d,sinaloa,1153,Mesillas,Durango-Villa Unión,MEX-040D,tematico_parent
68798c739b36b04cf0b7c252,sinaloa,1165,San Pedro,Libramiento de Culiacán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c259,sinaloa,1156,El Vainillo,Libramiento de Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7c2c5,sinaloa,1137,Puente Sinaloa,Culiacán-Los Mochis (LIBRE),MEX-015,tematico_parent
68798c739b36b04cf0b7c2c8,sinaloa,1137,Puente Culiacán,Culiacán-Los Mochis (LIBRE),MEX-015,tematico_parent
68798c739b36b04cf0b7c015,sonora,1181,Estación Don (La Jaula),Los Mochis-Cd.Obregón,MEX-015D,tematico_parent
68798c739b36b04cf0b7c016,sonora,1181,Fundición,Los Mochis-Cd.Obregón,MEX-015D,tematico_parent
