movement_id,plaza_id,caseta,cve,carretera,ruta,movimiento,km,sen,lat,lon,x_pg,y_pg,zona_geo,estado,vta_2024,pct_A,pct_AR,pct_B,pct_C2,pct_C3,pct_C4,pct_C5,pct_C6,pct_C7,pct_C8,pct_C9,pct_VNC,pct_M,rubro
68798c739b36b04cf0b7c101,68798c739b36b04cf0b7c101,Puente Zacatal,191,Villahermosa-Cd. Del Carmen (LIBRE),MEX-180,Zacatal-Cd. Del Carmen,162.4102,0,18.641814,-92.460301,556924.37029546,2061281.4146445,15Q,Campeche,1804771,54.6,0,5.3,6.6,4.8,1,16.2,2.4,0.2,0,7.8,0,1.1,casetas
68798c739b36b04cf0b7c245,68798c739b36b04cf0b7c245,Puente de la Unidad,272,Cd. Del Carmen-Campeche,MEX-180,Cd. Del Carmen-Isla Aguada,37,0,18.785471,-91.494877,658630.49763645,2077761.6245387,15Q,Campeche,2248788,63.4,0.7,2.8,4.6,3.5,0.3,12.9,1.8,0.1,0,6.3,0,3.6,casetas
68798c739b36b04cf0b7c2d5,68798c739b36b04cf0b7c2d5,Puente Grijalva,017,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,Villahermosa-Aquiles Serdán,17.6,0,17.947602,-92.785235,522742.33453957,1984401.5718622,15Q,Campeche,6155130,75.7,0.7,2.9,3.3,2.1,0.3,4.5,2,0.1,0,3.2,0.8,4.4,casetas
68798c739b36b04cf0b7c2d6,68798c739b36b04cf0b7c2d6,Puente Usumacinta,018,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,Ent. Emiliano Zapata-San Marcos,145.2,0,17.859905,-91.783654,628874.78491813,1975105.6624181,15Q,Campeche,1820690,53.3,1.1,3.7,3.7,4.3,0.6,11.4,3.7,0.4,0.1,9.3,0.5,7.9,casetas
68798c739b36b04cf0b7bfcd,68798c739b36b04cf0b7bfcd,Chiapa de Corzo,050,Tuxtla Gutiérrez-San Cristóbal de las Casas,MEX-190D,Tuxtla Gutiérrez-San Cristóbal de las Casas,1.3,0,16.730567,-93.009544,498982.66533475,1849749.4208097,15Q,Chiapas,4424633,85.6,0.2,1.3,4.4,1.9,0.2,1.8,0.9,0,0,0.7,1.7,1.3,casetas
68798c739b36b04cf0b7c121,68798c739b36b04cf0b7c121,Las Choapas,206-01,Las Choapas-Ocozocoautla,MEX-187D,Ent. Las Choapas-Nvo. Sacrificio,16.8,0,17.944832,-94.172395,375841.58905448,1984473.388837,15Q,Chiapas,1035232,33.2,0,4.3,6,10.5,1.5,22.4,4.5,0.4,0.3,16.4,0,0.5,casetas
68798c739b36b04cf0b7c122,68798c739b36b04cf0b7c121,Las Choapas,206-02,Las Choapas-Ocozocoautla,MEX-187D,Ent. Las Choapas-Ent. Las Choapas II,16.8,0,17.942745,-94.17227,375853.37236814,1984242.3697014,15Q,Chiapas,544484,84.9,0,1.6,4.2,1.9,0.1,0.5,0.2,0,0,0.3,0,6.3,casetas
68798c739b36b04cf0b7c123,68798c739b36b04cf0b7c121,Las Choapas,206-03,Las Choapas-Ocozocoautla,MEX-187D,Ent. Las Choapas II-Nvo. Sacrificio,16.8,0,17.942734,-94.172243,375856.22439516,1984241.1344764,15Q,Chiapas,16604,66.9,0,11.3,5.8,8,0.3,3.6,1,0.1,0,0.2,0,2.8,casetas
68798c739b36b04cf0b7c124,68798c739b36b04cf0b7c124,Malpasito,207-01,Las Choapas-Ocozocoautla,MEX-187D,Nvo. Sacrificio-Raudales,128,0,17.34907,-93.586472,437689.83918603,1918266.6525754,15Q,Chiapas,1618653,48.3,0,4,7.1,8.2,1.1,16.3,2.9,0.3,0.2,10.8,0,0.8,casetas
68798c739b36b04cf0b7c125,68798c739b36b04cf0b7c124,Malpasito,207-02,Las Choapas-Ocozocoautla,MEX-187D,Malpasito-Ent. Rómulo Calzada,128,0,17.348364,-93.586876,437646.67608682,1918188.6763134,15Q,Chiapas,16668,83,0,2.5,3.4,1.9,0.3,1.8,0.4,0,0,0.1,0,6.6,casetas
