caseta_mongo_id,state_slug,caseta_name,cve,carretera,ruta,movimiento,tdpa_2024,lat,lon,rubro
68798c739b36b04cf0b7c2ae,chihuahua,Sacramento,325,Libramiento Oriente de Chihuahua,MEX-045D,Ent. Aldama-Ent. Sacramento,4865,28.790516,-106.139354,casetas
68798c739b36b04cf0b7c2c4,chihuahua,Guadalupe,336,Libramiento Oriente de Ciudad Juárez,CHIH-048D,Ent. Villa Ahumada-Ent. Guadalupe,495,31.411868,-106.195543,casetas
68798c739b36b04cf0b7c2e2,chihuahua,Puente Inter. Ojinaga,026,Chihuahua-Ojinaga (LIBRE),MEX-016,Ojinaga-Presidio,2033,29.560735,-104.397589,casetas
68798c739b36b04cf0b7c2e3,chihuahua,Puente Inter. Paso del Norte,027,El Sueco-Cd. Juárez (LIBRE),MEX-045,Cd. Juárez-El Paso,5958,31.7459,-106.486424,casetas
68798c739b36b04cf0b7c079,coahuila,Los Chorros,158,Puerto  México-Ent. Ojo Caliente,MEX-057D,Puerto México-Ent. Carbonera,14727,25.186696,-100.731988,casetas
68798c739b36b04cf0b7c07a,coahuila,La Carbonera (Ojo Caliente),159,Puerto  México-Ent. Ojo Caliente,MEX-057D,Ent. La Carbonera-Ojo Caliente,16481,25.510948,-100.868249,casetas
68798c739b36b04cf0b7c07b,coahuila,Huachichil,160,Puerto  México-Ent. Ojo Caliente,MEX-057D,Huachichil-Ent. Carbonera,3259,25.245555,-100.801531,casetas
68798c739b36b04cf0b7c07e,coahuila,La Cuchilla,163,Torreón-Saltillo,MEX-040D,Matamoros-El Porvenir,7773,25.627052,-102.878352,casetas
68798c739b36b04cf0b7c07f,coahuila,Plan de Ayala,164,Torreón-Saltillo,MEX-040D,Loma Bonita-Plan de Ayala,8017,25.444203,-101.303908,casetas
68798c739b36b04cf0b7c10c,coahuila,Puente Inter. Piedras Negras II (Coahuila 2000),197,Monclova-Piedras Negras,MEX-057,Piedras Negras-Eagle Pass,5263,28.698227,-100.506523,casetas
68798c739b36b04cf0b7c23a,coahuila,Playa 1,269-01,Saltillo - Monterrey y Libramiento Norponiente de Saltillo,MEX-040D,Zacatecas-Monclova (Libramiento de Saltillo),5247,25.448326,-101.067032,casetas
68798c739b36b04cf0b7c23d,coahuila,Playa 2,270-01,Saltillo - Monterrey y Libramiento Norponiente de Saltillo,MEX-040D,Monclova-Ojo Caliente II,9373,25.612269,-100.913518,casetas
68798c739b36b04cf0b7c240,coahuila,Playa 3,271-01,Saltillo - Monterrey y Libramiento Norponiente de Saltillo,MEX-040D,Ojo Caliente II-Morones Prieto,10517,25.696117,-100.577324,casetas
68798c739b36b04cf0b7c25b,coahuila,San Pedro,289-01,Libramiento de la Laguna,MEX-040D,El Vergel-Matamoros,3485,25.650547,-103.369237,casetas
68798c739b36b04cf0b7c2e6,coahuila,Puente Inter. Piedras Negras,030,Monclova-Piedras Negras (LIBRE),MEX-057,Piedras Negras-Eagle Pass,3455,28.705197,-100.512983,casetas
68798c739b36b04cf0b7c2e8,coahuila,Puente Inter. Acuña,032,Piedras Negras-Cd. Acuña (LIBRE),MEX-002,Cd. Acuña-Del Río,4774,29.325657,-100.929015,casetas
68798c739b36b04cf0b7bfd2,colima,Acatlán de Juárez,053,Acatlán de Juaréz-El Trapiche,MEX-054D,Acatlán-Atoyac,14971,20.373443,-103.576317,casetas
68798c739b36b04cf0b7bfd3,colima,Sayula,054,Acatlán de Juaréz-El Trapiche,MEX-054D,Atoyac-Cd. Guzmán,16199,19.933235,-103.530027,casetas
68798c739b36b04cf0b7bfd4,colima,Sayula Remota,055,Acatlán de Juaréz-El Trapiche,MEX-054D,Sayula-Cd. Guzmán,2048,19.879111,-103.519314,casetas
68798c739b36b04cf0b7bfd5,colima,San Marcos,056,Acatlán de Juaréz-El Trapiche,MEX-054D,Cd. Guzmán-El Trapiche,13280,19.409129,-103.527882,casetas
68798c739b36b04cf0b7c013,colima,Cuyutlán,095,Armería-Manzanillo,MEX-200D,Armería-Manzanillo,13344,18.927852,-104.081512,casetas
68798c739b36b04cf0b7bfe4,distrito federal,Santa Fe,064,Constituyentes-La Marquesa,MEX-015D,Constituyentes-Santa Fe,19951,19.36337,-99.267326,casetas
68798c739b36b04cf0b7bfe5,distrito federal,Contadero,065,Constituyentes-La Marquesa,MEX-015D,Constituyentes-Contadero,2208,19.335797,-99.311029,casetas
68798c739b36b04cf0b7bfe6,distrito federal,La Venta,066-01,Constituyentes-La Marquesa,MEX-015D,Constituyentes-La Marquesa,44418,19.332816,-99.314301,casetas
68798c739b36b04cf0b7c085,distrito federal,Tlalpan,170,México-Cuernavaca,MEX-095D,México-Cuernavaca,29049,19.242519,-99.148716,casetas
68798c739b36b04cf0b7c0f7,distrito federal,La Venta (GOB.EDO.),188-01,Lechería-La Venta,MEX-057D,Lechería-La Venta,528,19.348946,-99.306623,casetas
68798c739b36b04cf0b7c01c,durango,Durango,104,Durango-Gómez Palacio,MEX-040D,Durango-Guadalupe Victoria,3954,24.131646,-104.534037,casetas
68798c739b36b04cf0b7c01d,durango,Yerbanis,105,Durango-Gómez Palacio,MEX-040D,Guadalupe Victoria-Yerbanís,3256,24.730819,-103.861843,casetas
68798c739b36b04cf0b7c01e,durango,Cuencamé III,106-01,Durango-Gómez Palacio,MEX-040D,Yerbanís-Pedriceña,3220,24.981714,-103.735206,casetas
68798c739b36b04cf0b7c021,durango,León Guzmán,107-01,Durango-Gómez Palacio,MEX-040D,Pedriceña-Gómez Palacio,5171,25.520645,-103.639471,casetas
68798c739b36b04cf0b7c0ff,durango,Bermejillo,189,Gómez Palacio-Corralitos,MEX-049D,Gómez Palacio-Est.Banderas,5615,25.923705,-103.622079,casetas
68798c739b36b04cf0b7c100,durango,Ceballos,190,Gómez Palacio-Corralitos,MEX-049D,Est. Banderas-Corralitos,5692,26.586801,-104.057535,casetas
68798c739b36b04cf0b7c22b,durango,Llano Grande,258,Durango-Villa Unión,MEX-040D,Ent.Otinapa-Llano Grande,3968,23.864514,-105.233202,casetas
68798c739b36b04cf0b7c22c,durango,Coscomate,259,Durango-Villa Unión,MEX-040D,Ent. Piloncillo-Santa Lucía,2366,23.706192,-105.571282,casetas
68798c739b36b04cf0b7c22d,durango,Mesillas,260-01,Durango-Villa Unión,MEX-040D,Santa Lucía-Villa Unión,3056,23.254997,-106.053989,casetas
68798c739b36b04cf0b7c037,guanajuato,León II,118,León-Aguascalientes,MEX-045D,Salamanca-León,1451,21.046573,-101.628786,casetas
68798c739b36b04cf0b7c038,guanajuato,Cuerámaro,119,León-Aguascalientes,MEX-045D,León-Central de Abastos,6094,21.069659,-101.67916,casetas
68798c739b36b04cf0b7c039,guanajuato,Plan de Ayala,120,León-Aguascalientes,MEX-045D,León-Plan de Ayala,1844,21.076925,-101.709948,casetas
68798c739b36b04cf0b7c03a,guanajuato,San Francisco del Rincón (Remotas),121,León-Aguascalientes,MEX-045D,León-Ent. San Francisco,4195,21.082338,-101.745597,casetas
68798c739b36b04cf0b7c03b,guanajuato,Las Joyas,122,León-Aguascalientes,MEX-045D,León-Las Joyas,1876,21.09754,-101.777066,casetas
68798c739b36b04cf0b7c03c,guanajuato,León,123,León-Aguascalientes,MEX-045D,León-Lagos de Moreno,15213,21.102764,-101.784576,casetas
68798c739b36b04cf0b7c03d,guanajuato,Unión de San Antonio,124,León-Aguascalientes,MEX-045D,Unión de San Antonio-Lagos de Moreno,587,21.255167,-101.949515,casetas
68798c739b36b04cf0b7c03e,guanajuato,Encarnación,125-01,León-Aguascalientes,MEX-045D,Lagos de Moreno-Aguascalientes,14063,21.489631,-102.243232,casetas
68798c739b36b04cf0b7c133,guanajuato,Querétaro,218,Querétaro-Irapuato,MEX-045D,Querétaro-Celaya,15370,20.572203,-100.472827,casetas
68798c739b36b04cf0b7c134,guanajuato,Querétaro Bis,219-01,Querétaro-Irapuato,MEX-045D,Querétaro-Ent. Lib. Suroeste de Querétaro,18707,20.572359,-100.480865,casetas
68798c739b36b04cf0b7c136,guanajuato,Apaseo,220,Querétaro-Irapuato,MEX-045D,Apaseo-Celaya,13207,20.533622,-100.627793,casetas
68798c739b36b04cf0b7c137,guanajuato,Villagrán,221,Querétaro-Irapuato,MEX-045D,Celaya-Villagrán,989,20.582194,-100.99215,casetas
68798c739b36b04cf0b7c138,guanajuato,Salamanca,222-01,Querétaro-Irapuato,MEX-045D,Celaya-Irapuato,12259,20.598482,-101.180975,casetas
68798c739b36b04cf0b7c13b,guanajuato,Cerro Gordo,223-01,Querétaro-Irapuato,MEX-045D,Celaya-Ent. Cerro Gordo,14733,20.591986,-101.137269,casetas
68798c739b36b04cf0b7c214,guanajuato,Cuitzeo,249,Morelia-Salamanca,MEX-043D,Copándaro-Cuitzeo,1930,19.968367,-101.162077,casetas
68798c739b36b04cf0b7c215,guanajuato,La Cinta,250-01,Morelia-Salamanca,MEX-043D,Uriangato-La Cinta,23,20.076227,-101.135702,casetas
68798c739b36b04cf0b7c218,guanajuato,Ent. La Cinta,251-01,Morelia-Salamanca,MEX-043D,Uriangato-Copándaro,312,20.073451,-101.136793,casetas
68798c739b36b04cf0b7c21c,guanajuato,Uriangato,252-01,Morelia-Salamanca,MEX-043D,Copándado-Uriangato,301,20.182954,-101.157296,casetas
68798c739b36b04cf0b7c220,guanajuato,Valle de Santiago,253-01,Morelia-Salamanca,MEX-043D,Copándaro-Valle de Santiago,150,20.372589,-101.147346,casetas
68798c739b36b04cf0b7c224,guanajuato,Valtierrilla,254,Morelia-Salamanca,MEX-043D,Cerro Gordo-Valtierrilla,3252,20.547577,-101.138127,casetas
68798c739b36b04cf0b7c225,guanajuato,Ent. Valtierrilla,255-01,Morelia-Salamanca,MEX-043D,Copándaro-Cerro Gordo,2282,20.542634,-101.137635,casetas
68798c739b36b04cf0b7c230,guanajuato,Arandas,261-01,Libramiento Norponiente de Irapuato (Cuota),MEX-IRA-020D,Ent. ITESI - San Cristóbal,1417,20.737556,-101.37993,casetas
68798c739b36b04cf0b7c233,guanajuato,Yostiro,262,Libramiento Norponiente de Irapuato (Cuota),MEX-IRA-020D,San Cristóbal-Yostiro,1919,20.60107,-101.438526,casetas
